step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
143360,5875,5.0246808,0.44,25.63,-0.020057377114426345,6.078111410140991,2.0413651019334793
145408,5979,4.6629276,0.41,19.12,-0.017864784866105765,9.768039405345917,2.018078036606312
147456,6030,4.1030464,0.36,31.25,-0.019285842106910422,5.060179620981216,2.0149446949362755
149504,6105,3.6691123999999995,0.32,25.88,-0.01844214744050987,6.598984003067017,2.050200030207634
151552,6182,5.491991999999999,0.49,30.17,-0.007494576595490798,8.911188453435898,2.0116017535328865
153600,6245,6.187914800000001,0.55,31.8,-0.010673174467228819,8.501399964094162,2.0688539296388626
155648,6378,4.998397999999999,0.44,13.89,-0.02258055389393121,11.56114786863327,1.99530827999115
157696,6455,4.891240000000002,0.43,19.86,-0.01786080066813156,7.704311221837997,2.0536456555128098
159744,6547,5.434642,0.48,23.86,-0.014519923104671761,9.977290034294128,2.0700897574424744
161792,6604,5.200342799999999,0.46,24.65,-0.013000114500755444,6.803792208433151,2.0470851063728333
163840,6669,5.284954399999999,0.47,30.75,-0.019988663494586945,7.230036497116089,1.944404385983944
165888,6748,4.847236,0.43,28.2,-0.02088258831645362,7.7788748145103455,1.9877401515841484
167936,6822,4.899962000000001,0.43,21.27,-0.0136222715373151,8.050130814313889,2.094387426972389
169984,6866,5.392914000000001,0.48,33.28,-0.017278207058552653,5.963603466749191,2.067915588617325
172032,6950,4.612976000000001,0.41,32.98,-0.008765542326727882,9.476385951042175,2.01434588432312
174080,7045,4.741302,0.42,23.58,-0.018815295246895403,9.367842316627502,2.0735094398260117
176128,7098,5.219805999999998,0.46,24.53,-0.015297262521926314,6.729985922574997,2.0482754707336426
178176,7167,5.524676800000001,0.49,33.39,-0.016225242288783193,7.705753654241562,2.0624821931123734
180224,7226,5.402604,0.48,34.9,-0.015582996013108641,6.881013721227646,2.109499752521515
182272,7282,5.1611924,0.46,35.79,-0.01523718195676338,5.662262290716171,2.081707611680031
184320,7332,4.933025999999999,0.44,36.54,-0.011395897716283798,6.862637937068939,1.980886660516262
186368,7452,5.184095600000001,0.46,17.09,-0.012254153727553785,12.057241559028625,1.9627729952335358
188416,7545,5.350187600000001,0.47,19.89,-0.01463029781007208,9.545156478881836,2.0493603199720383
190464,7608,4.693831599999999,0.41,21.66,-0.015357064519776031,6.504738658666611,2.061294451355934
192512,7706,5.0864712,0.45,24.85,-0.015177320980001241,9.200883656740189,2.0426805168390274
194560,7768,4.6726068,0.41,32.39,-0.015995722613297403,5.9105072021484375,2.0629321336746216
196608,7813,4.6731587999999995,0.41,34.59,-0.02104576292913407,5.2795090675354,2.0405797511339188
198656,7914,5.3265444,0.47,19.57,-0.013984330405946821,10.350388765335083,2.078263536095619
200704,7984,5.9131035999999995,0.52,22.71,-0.01745384407695383,7.360041975975037,2.0494836270809174
202752,8056,5.1993032,0.46,34.89,-0.020997121871914715,6.815558314323425,2.0754255801439285
204800,8150,6.003566800000001,0.53,18.95,-0.007885170984081924,10.34032827615738,2.0372303053736687
206848,8218,6.185904400000001,0.55,27.57,-0.013800484768580645,7.30371418595314,2.0725656151771545
208896,8282,5.446951600000001,0.48,28.87,-0.008802547788945958,7.724199712276459,1.9336823225021362
210944,8333,4.906501200000001,0.43,25.68,-0.017319132515694946,5.442263960838318,2.081633150577545
212992,8415,4.9871512000000005,0.44,35.39,-0.01759460725588724,8.59850138425827,2.0585889518260956
215040,8450,5.347484000000001,0.47,25.34,-0.017145608668215573,4.090854734182358,2.0687911808490753
217088,8522,4.9608212,0.44,37.92,-0.021144841535715386,7.4806550443172455,2.052055850625038
219136,8591,4.6772008,0.41,23.78,-0.01998766348697245,7.2814061641693115,2.016459137201309
221184,8626,4.741940400000001,0.42,33.05,-0.0178171768784523,4.2509446144104,2.095722585916519
223232,8691,4.0572376000000006,0.36,40.62,-0.009785817179363221,5.351851046085358,2.0705553591251373
225280,8774,6.106909599999999,0.54,27.05,-0.007528358604758978,10.53277063369751,2.053363800048828
227328,8851,4.9144948,0.43,19.3,-0.020648617384722456,7.648376315832138,2.112179711461067
229376,8943,5.439184,0.48,28.18,-0.014849561935989186,9.542712569236755,2.068965807557106
231424,9026,5.358049599999999,0.47,19.33,-0.01465774979442358,7.8038837015628815,2.0731996595859528
233472,9077,3.8732991999999995,0.34,34.16,-0.014632965525379404,4.621373176574707,2.1067541390657425
235520,9186,5.452279999999999,0.48,16.64,-0.014497190742986277,10.58567613363266,2.0433769673109055
237568,9235,5.431228799999999,0.48,29.85,-0.014233744819648564,5.872146040201187,2.0581229627132416
239616,9358,5.237160000000001,0.46,17.82,-0.01877665356732905,11.259374022483826,1.946125440299511
241664,9405,4.7666624,0.42,23.42,-0.010822720010764897,4.557224839925766,2.0788520127534866
243712,9499,5.2117348,0.46,27.2,-0.024414029649051372,8.81479236483574,1.964544229209423
245760,9561,4.9158504,0.43,18.94,-0.017339162004645914,5.607218354940414,1.948863722383976
247808,9604,5.4299479999999996,0.48,37.65,-0.013467750541167334,5.423931270837784,1.9081749022006989
249856,9671,4.779308,0.42,34.9,-0.011199703396414407,7.200457990169525,1.861432559788227
251904,9754,5.553341200000001,0.49,21.43,-0.012741039943648502,8.443121403455734,1.920689545571804
253952,9842,5.2007379999999985,0.46,28.32,-0.019498951267451048,8.612091362476349,1.9371262416243553
256000,9904,4.905293599999999,0.43,19.12,-0.013132624560967088,6.4352341294288635,2.0456169098615646
258048,9985,4.9587932,0.44,30.01,-0.01856954611139372,8.281925797462463,1.976181998848915
260096,10039,5.200575199999999,0.46,24.89,-0.01513998577138409,6.214712142944336,1.8149665743112564
262144,10104,4.7508904,0.42,30.04,-0.00938522927754093,6.602360725402832,2.05405592918396
264192,10202,6.6793516,0.59,22.98,-0.014162655745167285,9.760105967521667,1.975864589214325
266240,10257,5.569078000000001,0.49,26.76,-0.018183460051659495,6.207058429718018,2.031984865665436
268288,10322,5.227730800000001,0.46,29.88,-0.019645201944513246,6.923194736242294,2.0837534815073013
270336,10381,6.209804000000002,0.55,30.63,-0.017754053929820657,7.521054059267044,1.9304853603243828
272384,10465,6.4508676000000005,0.57,28.5,-0.019981249701231718,8.772381961345673,1.8872950673103333
274432,10493,6.186803599999998,0.55,37.75,-0.009777656174264848,3.618294507265091,1.924325168132782
276480,10552,4.920449199999999,0.44,50.52,-0.019689791603013873,6.858761429786682,1.7339740321040154
278528,10619,6.376998800000001,0.57,30.52,-0.011990924453129992,8.87126237154007,1.861378237605095
280576,10704,5.7608368,0.51,27.17,-0.01876073598396033,9.097094237804413,1.8663082271814346
282624,10777,6.0180916,0.53,24.05,-0.017872574680950493,8.113580167293549,1.7705320492386818
284672,10880,4.795190399999999,0.42,24.6,-0.015832742676138878,9.374202311038971,1.8867392763495445
286720,10980,5.711445200000001,0.5,20.56,-0.016951673896983266,10.096006453037262,1.7677087411284447
288768,11030,5.935740399999999,0.52,26.79,-0.017649079556576908,5.445604979991913,1.8833424672484398
290816,11083,5.666928799999999,0.5,35.74,-0.022409326338674873,6.595341324806213,1.911786176264286
292864,11183,5.452964000000001,0.48,23.75,-0.023459477175492793,9.112350314855576,1.8977166637778282
294912,11230,5.2452268,0.46,26.35,-0.01792694698087871,5.503503054380417,1.819053664803505
296960,11293,5.0812995999999995,0.45,37.54,-0.016801785153802484,6.21114456653595,1.9416157752275467
299008,11378,4.774933999999999,0.42,24.95,-0.02268343578907661,8.855912387371063,2.027500607073307
301056,11445,4.983461999999999,0.44,29.58,-0.016412243770901114,7.636812090873718,1.8628888428211212
303104,11513,4.8616272,0.43,31.91,-0.012660394422709942,8.019490838050842,1.5725579932332039
